municipality_code,year,state_code,population,mde_minimum_share_pct,investment_per_basic_education_student
9900001,2022,XA,18633,24.44,9412.07
9900001,2023,XA,18782,29.43,9929.64
9900001,2024,XA,18931,25.38,10310.22
9900002,2022,XB,4729,30.66,7263.55
9900002,2023,XB,4766,23.58,7602.8
9900002,2024,XB,4804,28.27,8199.44
9900003,2022,XC,36597,24.38,5082.07
9900003,2023,XC,36889,25.54,5536.3
9900003,2024,XC,37182,26.09,5965.37
9900004,2022,XA,10508,29.56,8891.18
9900004,2023,XA,10592,27.08,8913.78
9900004,2024,XA,10676,24.21,9453.82
9900005,2022,XB,10088,28.83,6700.06
9900005,2023,XB,10168,26.39,7237.36
9900005,2024,XB,10249,26.97,7550.56
9900006,2022,XC,36562,30.67,8314.32
9900006,2023,XC,36854,27.86,8743.86
9900006,2024,XC,37146,27.61,9173.81
9900007,2022,XA,5083,23.83,6379.36
9900007,2023,XA,5123,26.33,6803.78
9900007,2024,XA,5164,29.17,7319.5
9900008,2022,XB,72085,24.11,7765.05
9900008,2023,XB,72661,25.37,7947.47
9900008,2024,XB,73238,30.74,8492.54
9900009,2022,XC,36386,27.03,7622.85
9900009,2023,XC,36677,31.1,8021.96
9900009,2024,XC,36968,25.83,8728.56
9900010,2022,XA,18550,26.42,6564.39
9900010,2023,XA,18698,26.97,6899.47
9900010,2024,XA,18846,25.35,7213.2
9900011,2022,XB,145243,30.74,6729.29
9900011,2023,XB,146404,26.87,7263.0
9900011,2024,XB,147566,24.39,7561.59
9900012,2022,XC,9925,29.64,7752.85
9900012,2023,XC,10004,26.93,8453.88
9900012,2024,XC,10083,26.14,8850.07
